;X;CODE;codeplas;plasnaam;SBZ;meetnet;HabtypeSel;HabtypeVel;INSIDE_X;INSIDE_Y;LabSampleID;FieldSampleID;FieldObserver;FieldSampleRemark;FieldSamplingDate;Component;LIMSAnalysisName;Unit;AquaComponent;AquaUnit;ResultNumeric;ResultFormatted;ResultFormattedNumeric;IsBelowLOQ;IsAboveLOQ;IsCalc;ResultCalc;label
1;12062;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;pH.25;PHH2O_TIT_W;-;pH_labo;-;8,03;8.03;8,03;FALSE;FALSE;FALSE;8,03;pH_labo (-)
2;12063;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;EC.25;EC_TIT_W;µS/cm;EGV_tit;µS/cm;919,9;919.90;919,9;FALSE;FALSE;FALSE;919,9;EGV_tit (µS/cm)
3;18885;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;HCO3;ALK_OEP_W;mg/L;HCO3_OEP;mg/L;214,0083333;214.01;214,01;FALSE;FALSE;FALSE;214,01;HCO3_OEP (mg/L)
4;18886;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;CO3;ALK_OEP_W;mg/L;CO3;mg/L;0;<1.20;1,2;TRUE;FALSE;FALSE;0,6;CO3 (mg/L)
5;18887;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;OH;ALK_OEP_W;mg/L;OH;mg/L;0;<0.36;0,36;TRUE;FALSE;FALSE;0,18;OH (mg/L)
6;18888;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Cl;IC_ANIONEN;mg/L;Cl;mg/L;151,084;151.08;151,08;FALSE;FALSE;FALSE;151,08;Cl (mg/L)
7;18889;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;NO2;IC_ANIONEN;mg/L;NO2;mg/L;0,0518;0.05;0,05;FALSE;FALSE;FALSE;0,05;NO2 (mg/L)
8;18890;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;NO3;IC_ANIONEN;mg/L;NO3;mg/L;2,7878;2.79;2,79;FALSE;FALSE;FALSE;2,79;NO3 (mg/L)
9;18891;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;SO4;IC_ANIONEN;mg/L;SO4;mg/L;47,7777;47.78;47,78;FALSE;FALSE;FALSE;47,78;SO4 (mg/L)
10;18892;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;PO4;IC_ANIONEN;mg/L;PO4;mg/L;1,1333;1.13;1,13;FALSE;FALSE;FALSE;1,13;PO4 (mg/L)
11;18893;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Na;IC_KATIONEN;mg/L;Na;mg/L;99,6004;99.60;99,6;FALSE;FALSE;FALSE;99,6;Na (mg/L)
12;18894;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;NH4;IC_KATIONEN;mg/L;NH4;mg/L;1,3998;1.40;1,4;FALSE;FALSE;FALSE;1,4;NH4 (mg/L)
13;18895;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;K;IC_KATIONEN;mg/L;K;mg/L;17,6429;17.64;17,64;FALSE;FALSE;FALSE;17,64;K (mg/L)
14;18896;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Mg;IC_KATIONEN;mg/L;Mg;mg/L;21,9203;21.92;21,92;FALSE;FALSE;FALSE;21,92;Mg (mg/L)
15;18897;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Ca;IC_KATIONEN;mg/L;Ca;mg/L;44,6935;44.69;44,69;FALSE;FALSE;FALSE;44,69;Ca (mg/L)
16;18898;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Al;ICP_MINMET_HNO3_1;mg/L;Al;mg/L;-0,007;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Al (mg/L)
17;18899;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Fe;ICP_MINMET_HNO3_1;mg/L;Fe;mg/L;0,0053;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Fe (mg/L)
18;18900;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Mn;ICP_MINMET_HNO3_1;mg/L;Mn;mg/L;0,0428;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Mn (mg/L)
19;18901;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;S;ICP_MINMET_HNO3_1;mg/L;S;mg/L;15,75682;15.76;15,76;FALSE;FALSE;FALSE;15,76;S (mg/L)
20;18902;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Si;ICP_MINMET_HNO3_1;mg/L;Si;mg/L;4,0688;4.07;4,07;FALSE;FALSE;FALSE;4,07;Si (mg/L)
21;18903;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;T.P;P_TOT_L_ICP_W;mg/L;TP;mg/L;0,4187;0.4187;0,4187;FALSE;FALSE;FALSE;0,4187;TP (mg/L)
22;18904;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;CHL.A;CHLA_SPECTRO;µg/l;chl_a;µg/l;5,772;5.8;5,8;FALSE;FALSE;FALSE;5,8;chl_a (µg/l)
